Order ID,Order Date,Region,Product Category,Product Name,Units Sold,Unit Price,Revenue,Cost,Profit,Customer Segment
1001,2024-01-05,North,Electronics,Wireless Headphones,3,59.99,179.97,107.98,71.99,Consumer
1002,2024-01-08,South,Office Supplies,Notebook Set,10,12.99,129.90,71.45,58.45,Corporate
1003,2024-01-10,East,Furniture,Standing Desk,1,349.99,349.99,227.49,122.50,Consumer
1004,2024-01-12,West,Electronics,USB-C Hub,5,34.99,174.95,96.22,78.73,Home Office
1005,2024-01-15,North,Office Supplies,Whiteboard Markers,20,4.99,99.80,49.90,49.90,Corporate
1006,2024-01-18,South,Furniture,Ergonomic Chair,2,279.99,559.98,363.99,195.99,Consumer
1007,2024-01-20,East,Electronics,Bluetooth Speaker,4,44.99,179.96,98.98,80.98,Home Office
1008,2024-01-22,West,Office Supplies,Sticky Notes Pack,15,6.99,104.85,52.43,52.42,Corporate
1009,2024-01-25,North,Furniture,Bookshelf,1,189.99,189.99,113.99,76.00,Consumer
1010,2024-01-28,South,Electronics,Webcam HD,3,79.99,239.97,143.98,95.99,Home Office
1011,2024-02-01,East,Office Supplies,Desk Organizer,8,19.99,159.92,87.96,71.96,Corporate
1012,2024-02-03,West,Furniture,Monitor Stand,2,64.99,129.98,71.49,58.49,Consumer
1013,2024-02-06,North,Electronics,Portable Charger,6,29.99,179.94,98.97,80.97,Home Office
1014,2024-02-08,South,Office Supplies,Binder Clips Box,25,3.49,87.25,43.63,43.62,Corporate
1015,2024-02-10,East,Furniture,Filing Cabinet,1,219.99,219.99,142.99,77.00,Consumer
1016,2024-02-13,West,Electronics,Wireless Mouse,7,24.99,174.93,96.21,78.72,Home Office
1017,2024-02-15,North,Office Supplies,Printer Paper Ream,12,8.99,107.88,59.34,48.54,Corporate
1018,2024-02-18,South,Furniture,Desk Lamp,4,39.99,159.96,87.98,71.98,Consumer
1019,2024-02-20,East,Electronics,HDMI Cable,10,14.99,149.90,74.95,74.95,Home Office
1020,2024-02-22,West,Office Supplies,Pen Set Premium,6,22.99,137.94,75.87,62.07,Corporate
1021,2024-02-25,North,Furniture,Corner Desk,1,299.99,299.99,194.99,105.00,Consumer
1022,2024-02-28,South,Electronics,Noise Cancelling Earbuds,3,89.99,269.97,161.98,107.99,Home Office
